id,label
0,21
1,10
2,23
3,22
4,0
5,19
6,16
7,4
8,2
9,27
10,23
11,16
12,8
13,1
14,6
15,5
16,1
17,14
18,11
19,21
20,26
21,10
22,16
23,15
24,28
25,24
26,19
27,5
28,24
29,26
30,2
31,19
32,9
33,26
34,4
35,2
36,8
37,10
38,14
39,1
40,14
41,7
42,8
43,25
44,20
45,9
46,21
47,2
48,15
49,13
50,8
51,10
52,4
53,22
54,1
55,23
56,18
57,0
58,3
59,18
60,27
61,7
62,24
63,21
64,22
65,27
66,9
67,0
68,21
69,7
70,18
71,26
72,7
73,11
74,21
75,9
76,25
77,4
78,18
79,20
80,25
81,22
82,13
83,14
84,20
85,2
86,23
87,21
88,13
89,18
90,2
91,4
92,9
93,17
94,1
95,2
96,5
97,13
98,27
99,16
100,8
101,18
102,18
103,4
104,2
105,18
106,5
107,27
108,15
109,17
110,9
111,21
112,0
113,27
114,18
115,14
116,8
117,4
118,5
119,14
120,21
121,23
122,11
123,20
124,1
125,4
126,18
127,7
128,15
129,27
130,24
131,20
132,20
133,5
134,0
135,20
136,20
137,21
138,11
139,10
140,8
141,0
142,20
143,4
144,22
145,2
146,22
147,15
148,1
149,20
150,9
151,17
152,9
153,1
154,11
155,22
156,26
157,21
158,4
159,24
160,0
161,21
162,25
163,7
164,15
165,27
166,20
167,20
168,11
169,26
170,21
171,9
172,16
173,5
174,15
175,5
176,18
177,2
178,27
179,19
180,16
181,8
182,4
183,18
184,2
185,27
186,24
187,23
188,27
189,5
190,1
191,13
192,22
193,25
194,26
195,26
196,8
197,18
198,20
199,0
200,8
201,16
202,16
203,27
204,22
205,16
206,13
207,23
208,22
209,10
210,21
211,10
212,20
213,21
214,26
215,7
216,17
217,15
218,26
219,3
220,1
221,18
222,6
223,12
224,21
225,18
226,26
227,17
228,14
229,18
230,16
231,16
232,17
233,11
234,5
235,21
236,7
237,28
238,4
239,3
240,7
241,22
242,2
243,26
244,2
245,2
246,14
247,5
248,4
249,9
250,23
251,1
252,2
253,13
254,1
255,18
256,28
257,1
258,6
259,15
260,15
261,18
262,18
263,11
264,13
265,18
266,13
267,14
268,10
269,7
270,19
271,21
272,23
273,9
274,17
275,18
276,27
277,22
278,26
279,15
280,14
281,28
282,23
283,0
284,24
285,13
286,22
287,3
288,23
289,5
290,5
291,23
292,9
293,17
294,5
295,5
296,15
297,12
298,1
299,27
300,9
301,8
302,26
303,8
304,2
305,9
306,9
307,6
308,21
309,5
310,10
311,0
312,26
313,20
314,20
315,21
316,14
317,23
318,16
319,10
320,14
321,20
322,2
323,8
324,7
325,26
326,15
327,26
328,5
329,22
330,3
331,11
332,2
333,26
334,8
335,2
336,15
337,7
338,4
339,28
340,17
341,15
342,2
343,26
344,18
345,16
346,8
347,11
348,26
349,20
350,17
351,5
352,18
353,15
354,22
355,9
356,0
357,17
358,21
359,8
360,19
361,10
362,22
363,21
364,25
365,18
366,9
367,18
368,6
369,23
370,20
371,14
372,5
373,18
374,3
375,27
376,6
377,14
378,26
379,0
380,1
381,2
382,23
383,24
384,9
385,1
386,5
387,10
388,10
389,12
390,21
391,23
392,21
393,27
394,9
395,14
396,4
397,10
398,16
399,10
400,28
401,25
402,18
403,2
404,16
405,17
406,20
407,1
408,5
409,18
410,22
411,28
412,5
413,2
414,2
415,23
416,19
417,6
418,23
419,25
420,13
421,24
422,22
423,15
424,10
425,15
426,26
427,27
428,5
429,16
430,10
431,18
432,23
433,10
434,20
435,8
436,9
437,9
438,19
439,5
440,14
441,14
442,18
443,4
444,20
445,6
446,28
447,17
448,22
449,1
450,22
451,1
452,16
453,9
454,4
455,22
456,27
457,22
458,13
459,10
460,7
461,5
462,3
463,5
464,11
465,2
466,16
467,18
468,27
469,19
470,15
471,27
472,6
473,12
474,26
475,5
476,14
477,27
478,21
479,15
480,9
481,7
482,5
483,5
484,23
485,0
486,0
487,12
488,12
489,2
490,22
491,8
492,9
493,1
494,18
495,16
496,5
497,7
498,10
499,17
500,24
501,14
502,8
503,8
504,0
505,15
506,9
507,24
508,13
509,23
510,16
511,22
512,3
513,10
514,24
515,14
516,18
517,9
518,10
519,14
520,24
521,18
522,17
523,8
524,1
525,14
526,20
527,1
528,17
529,24
530,8
531,1
532,6
533,20
534,26
535,3
536,21
537,27
538,2
539,10
540,5
541,20
542,27
543,15
544,24
545,17
546,22
547,1
548,22
549,5
550,27
551,20
552,1
553,27
554,5
555,20
556,11
557,14
558,7
559,16
560,5
561,23
562,21
563,10
564,23
565,23
566,0
567,0
568,21
569,24
570,25
571,23
572,18
573,24
574,8
575,22
576,22
577,15
578,6
579,16
580,22
581,13
582,16
583,5
584,1
585,1
586,9
587,18
588,5
589,10
590,28
591,22
592,1
593,1
594,1
595,27
596,20
597,18
598,20
599,3
600,5
601,24
602,21
603,0
604,4
605,22
606,15
607,27
608,0
609,23
610,2
611,8
612,24
613,24
614,13
615,10
616,22
617,17
618,19
619,18
620,23
621,24
622,10
623,27
624,9
625,18
626,1
627,2
628,1
629,18
630,27
631,14
632,7
633,18
634,5
635,1
636,20
637,2
638,23
639,24
640,26
641,17
642,9
643,5
644,21
645,3
646,26
647,11
648,27
649,7
650,2
651,21
652,1
653,2
654,18
655,20
656,22
657,0
658,26
659,20
660,5
661,5
662,8
663,11
664,8
665,0
666,28
667,5
668,23
669,4
670,0
671,8
672,13
673,26
674,18
675,5
676,26
677,1
678,10
679,10
680,26
681,23
682,20
683,18
684,20
685,24
686,23
687,16
688,22
689,0
690,26
691,14
692,1
693,12
694,16
695,16
696,19
697,0
